Native CPU + submission-order software raster; in-game UNWITNESSED.
Tolerances: 1 HUD px, 6 RGB units. Minimum gates have zero tolerance.

| Aspect | Feature | Actual | Target | Residual | Result |
| --- | --- | --- | --- | --- | --- |
| 4:3 | body | [37.0, 37.0, 37.0] | [37.833, 37.833, 37.833] | 0.833 RGB | PASS |
| 4:3 | away_wash | [61.406, 80.5, 124.406] | [62.875, 83.906, 126.906] | 3.406 RGB | PASS |
| 4:3 | home_wash | [153.875, 62.312, 87.188] | [152.688, 64.594, 88.5] | 2.281 RGB | PASS |
| 4:3 | centre_wash | [56.0, 61.667, 60.333] | [52.75, 59.75, 63.583] | 3.25 RGB | PASS |
| 4:3 | away_wing | [65.333, 105.583, 166.75] | [62.25, 101.75, 170.0] | 3.833 RGB | PASS |
| 4:3 | home_wing | [226.667, 40.667, 88.75] | [227.0, 37.833, 84.917] | 3.833 RGB | PASS |
| 4:3 | away_bottom_rim | [76.938, 109.875, 153.188] | [79.375, 104.438, 153.625] | 5.438 RGB | PASS |
| 4:3 | home_bottom_rim | [177.875, 62.062, 90.188] | [172.938, 64.75, 93.875] | 4.938 RGB | PASS |
| 4:3 | centre_bottom_rim | [44.112, 43.888, 50.412] | [43.912, 43.188, 45.575] | 4.837 RGB | PASS |
| 4:3 | plate_lip | [185.833, 20.8, 67.8] | [185.967, 19.867, 62.6] | 5.2 RGB | PASS |
| 4:3 | plate_dip | [166.667, 21.667, 63.667] | [170.433, 21.333, 63.733] | 3.767 RGB | PASS |
| 4:3 | plate_sheen | [187.0, 8.8, 56.4] | [186.4, 11.68, 59.7] | 3.3 RGB | PASS |
| 4:3 | plate_bottom | [162.667, 22.667, 61.333] | [161.467, 20.5, 59.5] | 2.167 RGB | PASS |
| 4:3 | housing | [37.52, 38.797, 38.413] | [37.177, 35.633, 37.032] | 3.163 RGB | PASS |
| 4:3 | capsule | [247.738, 247.738, 249.738] | [248.177, 248.177, 249.215] | 0.523 RGB | PASS |
| 4:3 | capsule_rim | [197.575, 192.125, 192.612] | [194.312, 194.612, 194.712] | 3.262 RGB | PASS |
| 4:3 | red | [214.949, 0.045, 51.01] | [213.869, 0.0, 50.066] | 1.081 RGB | PASS |
| 4:3 | pointer | [58.6, 45.1, 53.0] | [55.2, 43.167, 49.9] | 3.4 RGB | PASS |
| 4:3 | away_logo_box | [212.0, 403.615, 282.222, 429.333] | [212.0, 403.615, 281.778, 429.748] | 0.444 HUD px | PASS |
| 4:3 | home_logo_box | [569.778, 391.17, 657.778, 435.556] | [569.778, 391.585, 657.778, 435.141] | 0.415 HUD px | PASS |
| 4:3 | away_score_box | [327.111, 400.296, 344.444, 421.867] | [327.111, 399.881, 344.889, 422.281] | 0.444 HUD px | PASS |
| 4:3 | home_score_box | [506.667, 400.296, 524.444, 421.867] | [506.222, 400.296, 524.0, 422.696] | 0.83 HUD px | PASS |
| 4:3 | down_cap | 12.03 | 9.541 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | quarter_cap | 13.689 | 13.689 | 0.0 HUD px | PASS |
| 4:3 | play_clock_cap | 10.37 | 7.881 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | score_white | [252.0, 252.1, 252.1] | [253.0, 253.0, 253.0] | 1.0 RGB | PASS |
| 4:3 | separator_x | 399.378 | 400.0 | 0.622 HUD px | PASS |
| 4:3 | label_minimum_cap | 12.446 | 12 | 0.0 HUD px | PASS |
| 4:3 | label_minimum_stem | 3.555 | 2.5 | 0.0 HUD px | PASS |
| 4:3 | label_skipped_columns | 8 | 8 | 0.0 count | PASS |
| 4:3 | label_digit_width | 10.664 | 7.111 | 3.553 HUD px | IMPOSSIBLE | The requested 2.5 HUD pixel stems and retail-scale digits require a wider SD cut than the 16 source pixel broadcast digit.
| 16:9 | body | [37.0, 37.0, 37.0] | [37.8, 37.8, 37.8] | 0.8 RGB | PASS |
| 16:9 | away_wash | [61.469, 80.469, 124.406] | [62.781, 84.031, 126.938] | 3.562 RGB | PASS |
| 16:9 | home_wash | [154.031, 62.281, 87.094] | [152.594, 64.5, 88.688] | 2.219 RGB | PASS |
| 16:9 | centre_wash | [56.0, 61.917, 60.333] | [52.833, 59.75, 63.583] | 3.25 RGB | PASS |
| 16:9 | away_wing | [65.417, 105.333, 166.333] | [61.833, 101.5, 169.667] | 3.833 RGB | PASS |
| 16:9 | home_wing | [227.25, 40.833, 88.667] | [228.5, 36.833, 84.75] | 4.0 RGB | PASS |
| 16:9 | away_bottom_rim | [77.25, 109.625, 153.062] | [78.938, 103.625, 152.5] | 6.0 RGB | PASS |
| 16:9 | home_bottom_rim | [177.875, 62.062, 90.312] | [173.0, 64.75, 92.938] | 4.875 RGB | PASS |
| 16:9 | centre_bottom_rim | [44.1, 43.875, 50.262] | [43.825, 43.0, 45.5] | 4.763 RGB | PASS |
| 16:9 | plate_lip | [185.867, 20.767, 67.767] | [186.367, 19.567, 62.5] | 5.267 RGB | PASS |
| 16:9 | plate_dip | [166.667, 21.667, 63.667] | [170.5, 21.1, 63.6] | 3.833 RGB | PASS |
| 16:9 | plate_sheen | [187.0, 8.8, 56.4] | [186.72, 12.2, 59.92] | 3.52 RGB | PASS |
| 16:9 | plate_bottom | [162.667, 22.667, 61.333] | [161.467, 20.567, 59.2] | 2.133 RGB | PASS |
| 16:9 | housing | [37.517, 38.762, 38.385] | [37.102, 35.56, 36.957] | 3.202 RGB | PASS |
| 16:9 | capsule | [248.285, 248.285, 250.085] | [248.115, 248.115, 249.277] | 0.808 RGB | PASS |
| 16:9 | capsule_rim | [197.575, 192.138, 192.625] | [194.05, 194.45, 194.538] | 3.525 RGB | PASS |
| 16:9 | red | [214.859, 0.49, 51.323] | [213.455, 0.066, 50.051] | 1.404 RGB | PASS |
| 16:9 | pointer | [59.367, 44.933, 52.867] | [55.133, 43.133, 49.733] | 4.233 RGB | PASS |
| 16:9 | away_logo_box | [159.0, 403.615, 211.667, 429.333] | [159.0, 403.615, 211.333, 429.748] | 0.415 HUD px | PASS |
| 16:9 | home_logo_box | [427.0, 391.17, 493.333, 435.556] | [427.333, 391.585, 493.333, 435.141] | 0.415 HUD px | PASS |
| 16:9 | away_score_box | [245.333, 400.296, 258.667, 421.867] | [245.333, 399.881, 258.667, 422.281] | 0.415 HUD px | PASS |
| 16:9 | home_score_box | [380.0, 400.296, 393.0, 421.867] | [379.667, 400.296, 393.0, 422.696] | 0.83 HUD px | PASS |
| 16:9 | down_cap | 12.03 | 9.541 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 16:9 | quarter_cap | 13.689 | 13.689 | 0.0 HUD px | PASS |
| 16:9 | play_clock_cap | 10.37 | 7.881 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 16:9 | score_white | [252.0, 253.0, 253.0] | [253.0, 253.0, 253.0] | 1.0 RGB | PASS |
| 16:9 | separator_x | 299.722 | 300.0 | 0.278 HUD px | PASS |
| 16:9 | label_minimum_cap | 12.446 | 12 | 0.0 HUD px | PASS |
| 16:9 | label_minimum_stem | 2.668 | 2.5 | 0.0 HUD px | PASS |
| 16:9 | label_skipped_columns | 8 | 8 | 0.0 count | PASS |
| 16:9 | label_digit_width | 8.003 | 5.333 | 2.67 HUD px | IMPOSSIBLE | The requested 2.5 HUD pixel stems and retail-scale digits require a wider SD cut than the 16 source pixel broadcast digit.

