Native CPU + submission-order software raster; in-game UNWITNESSED.
Tolerances: 1 HUD px, 6 RGB units. Minimum gates have zero tolerance.

| Aspect | Feature | Actual | Target | Residual | Result |
| --- | --- | --- | --- | --- | --- |
| 4:3 | body | [37.0, 37.0, 37.0] | [37.833, 37.833, 37.833] | 0.833 RGB | PASS |
| 4:3 | away_wash | [61.25, 82.031, 123.406] | [62.875, 83.906, 126.906] | 3.5 RGB | PASS |
| 4:3 | home_wash | [150.594, 61.906, 88.656] | [152.688, 64.594, 88.5] | 2.688 RGB | PASS |
| 4:3 | centre_wash | [56.667, 60.667, 54.0] | [52.75, 59.75, 63.583] | 9.583 RGB | FAIL |
| 4:3 | away_wing | [65.417, 106.333, 167.917] | [62.25, 101.75, 170.0] | 4.583 RGB | PASS |
| 4:3 | home_wing | [226.417, 42.0, 89.583] | [227.0, 37.833, 84.917] | 4.667 RGB | PASS |
| 4:3 | away_bottom_rim | [77.375, 106.312, 153.625] | [79.375, 104.438, 153.625] | 2.0 RGB | PASS |
| 4:3 | home_bottom_rim | [182.125, 60.0, 92.5] | [172.938, 64.75, 93.875] | 9.188 RGB | FAIL |
| 4:3 | centre_bottom_rim | [43.662, 41.012, 48.238] | [43.912, 43.188, 45.575] | 2.662 RGB | PASS |
| 4:3 | plate_lip | [186.0, 21.0, 68.1] | [185.967, 19.867, 62.6] | 5.5 RGB | PASS |
| 4:3 | plate_dip | [166.667, 21.667, 63.667] | [170.433, 21.333, 63.733] | 3.767 RGB | PASS |
| 4:3 | plate_sheen | [187.0, 8.8, 56.4] | [186.4, 11.68, 59.7] | 3.3 RGB | PASS |
| 4:3 | plate_bottom | [162.333, 22.667, 61.333] | [161.467, 20.5, 59.5] | 2.167 RGB | PASS |
| 4:3 | housing | [37.445, 38.782, 38.37] | [37.177, 35.633, 37.032] | 3.148 RGB | PASS |
| 4:3 | capsule | [247.738, 247.738, 249.738] | [248.177, 248.177, 249.215] | 0.523 RGB | PASS |
| 4:3 | capsule_rim | [196.638, 190.638, 192.612] | [194.312, 194.612, 194.712] | 3.975 RGB | PASS |
| 4:3 | red | [214.949, 0.045, 51.01] | [213.869, 0.0, 50.066] | 1.081 RGB | PASS |
| 4:3 | pointer | [60.967, 44.2, 50.433] | [55.2, 43.167, 49.9] | 5.767 RGB | PASS |
| 4:3 | away_logo_box | [212.0, 403.615, 282.222, 429.333] | [212.0, 403.615, 281.778, 429.748] | 0.444 HUD px | PASS |
| 4:3 | home_logo_box | [569.778, 391.17, 657.778, 435.556] | [569.778, 391.585, 657.778, 435.141] | 0.415 HUD px | PASS |
| 4:3 | away_score_box | [327.111, 400.296, 344.444, 421.867] | [327.111, 399.881, 344.889, 422.281] | 0.444 HUD px | PASS |
| 4:3 | home_score_box | [506.667, 400.296, 524.444, 421.867] | [506.222, 400.296, 524.0, 422.696] | 0.83 HUD px | PASS |
| 4:3 | down_cap | 12.03 | 9.541 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | quarter_cap | 13.689 | 13.689 | 0.0 HUD px | PASS |
| 4:3 | play_clock_cap | 10.37 | 7.881 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | score_white | [252.0, 252.1, 252.1] | [253.0, 253.0, 253.0] | 1.0 RGB | PASS |
| 4:3 | separator_x | 399.378 | 400.0 | 0.622 HUD px | PASS |
| 4:3 | label_minimum_cap | 12.446 | 12 | 0.0 HUD px | PASS |
| 4:3 | label_minimum_stem | 3.555 | 2.5 | 0.0 HUD px | PASS |
| 4:3 | label_skipped_columns | 8 | 8 | 0.0 count | PASS |
| 4:3 | label_digit_width | 10.664 | 7.111 | 3.553 HUD px | IMPOSSIBLE | The requested 2.5 HUD pixel stems and retail-scale digits require a wider SD cut than the 16 source pixel broadcast digit.
| 16:9 | body | [37.0, 37.0, 37.0] | [37.8, 37.8, 37.8] | 0.8 RGB | PASS |
| 16:9 | away_wash | [61.25, 82.062, 123.344] | [62.781, 84.031, 126.938] | 3.594 RGB | PASS |
| 16:9 | home_wash | [150.469, 61.906, 88.594] | [152.594, 64.5, 88.688] | 2.594 RGB | PASS |
| 16:9 | centre_wash | [56.667, 60.917, 54.0] | [52.833, 59.75, 63.583] | 9.583 RGB | FAIL |
| 16:9 | away_wing | [65.667, 106.417, 167.583] | [61.833, 101.5, 169.667] | 4.917 RGB | PASS |
| 16:9 | home_wing | [226.833, 42.0, 89.5] | [228.5, 36.833, 84.75] | 5.167 RGB | PASS |
| 16:9 | away_bottom_rim | [77.312, 106.062, 153.312] | [78.938, 103.625, 152.5] | 2.438 RGB | PASS |
| 16:9 | home_bottom_rim | [182.0, 60.0, 92.5] | [173.0, 64.75, 92.938] | 9.0 RGB | FAIL |
| 16:9 | centre_bottom_rim | [43.65, 40.875, 48.125] | [43.825, 43.0, 45.5] | 2.625 RGB | PASS |
| 16:9 | plate_lip | [186.0, 21.0, 68.067] | [186.367, 19.567, 62.5] | 5.567 RGB | PASS |
| 16:9 | plate_dip | [166.667, 21.667, 63.667] | [170.5, 21.1, 63.6] | 3.833 RGB | PASS |
| 16:9 | plate_sheen | [187.0, 8.8, 56.4] | [186.72, 12.2, 59.92] | 3.52 RGB | PASS |
| 16:9 | plate_bottom | [162.333, 22.667, 61.333] | [161.467, 20.567, 59.2] | 2.133 RGB | PASS |
| 16:9 | housing | [37.432, 38.747, 38.348] | [37.102, 35.56, 36.957] | 3.187 RGB | PASS |
| 16:9 | capsule | [248.292, 248.285, 250.085] | [248.115, 248.115, 249.277] | 0.808 RGB | PASS |
| 16:9 | capsule_rim | [196.65, 190.638, 192.625] | [194.05, 194.45, 194.538] | 3.812 RGB | PASS |
| 16:9 | red | [214.859, 0.49, 51.323] | [213.455, 0.066, 50.051] | 1.404 RGB | PASS |
| 16:9 | pointer | [61.2, 44.0, 50.467] | [55.133, 43.133, 49.733] | 6.067 RGB | FAIL |
| 16:9 | away_logo_box | [159.0, 403.615, 211.667, 429.333] | [159.0, 403.615, 211.333, 429.748] | 0.415 HUD px | PASS |
| 16:9 | home_logo_box | [427.0, 391.17, 493.333, 435.556] | [427.333, 391.585, 493.333, 435.141] | 0.415 HUD px | PASS |
| 16:9 | away_score_box | [245.333, 400.296, 258.667, 421.867] | [245.333, 399.881, 258.667, 422.281] | 0.415 HUD px | PASS |
| 16:9 | home_score_box | [380.0, 400.296, 393.0, 421.867] | [379.667, 400.296, 393.0, 422.696] | 0.83 HUD px | PASS |
| 16:9 | down_cap | 12.03 | 9.541 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 16:9 | quarter_cap | 13.689 | 13.689 | 0.0 HUD px | PASS |
| 16:9 | play_clock_cap | 10.37 | 7.881 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 16:9 | score_white | [252.0, 253.0, 253.0] | [253.0, 253.0, 253.0] | 1.0 RGB | PASS |
| 16:9 | separator_x | 299.722 | 300.0 | 0.278 HUD px | PASS |
| 16:9 | label_minimum_cap | 12.446 | 12 | 0.0 HUD px | PASS |
| 16:9 | label_minimum_stem | 2.668 | 2.5 | 0.0 HUD px | PASS |
| 16:9 | label_skipped_columns | 8 | 8 | 0.0 count | PASS |
| 16:9 | label_digit_width | 8.003 | 5.333 | 2.67 HUD px | IMPOSSIBLE | The requested 2.5 HUD pixel stems and retail-scale digits require a wider SD cut than the 16 source pixel broadcast digit.

