Native CPU + submission-order software raster; in-game UNWITNESSED.
Tolerances: 1 HUD px, 6 RGB units. Minimum gates have zero tolerance.

| Aspect | Feature | Actual | Target | Residual | Result |
| --- | --- | --- | --- | --- | --- |
| 4:3 | body | [37.033, 37.0, 37.0] | [37.772, 37.772, 37.772] | 0.772 RGB | PASS |
| 4:3 | away_wash | [70.0, 93.75, 138.75] | [61.031, 83.031, 126.875] | 11.875 RGB | FAIL |
| 4:3 | home_wash | [178.5, 48.75, 82.0] | [152.562, 62.375, 87.812] | 25.938 RGB | FAIL |
| 4:3 | centre_wash | [56.333, 69.917, 72.167] | [65.75, 64.417, 68.0] | 9.417 RGB | FAIL |
| 4:3 | away_wing | [71.0, 108.0, 177.75] | [51.5, 82.583, 134.867] | 42.883 RGB | FAIL |
| 4:3 | home_wing | [231.467, 86.433, 124.183] | [221.367, 35.15, 80.4] | 51.283 RGB | FAIL |
| 4:3 | away_bottom_rim | [65.5, 96.312, 154.5] | [90.25, 116.125, 164.625] | 24.75 RGB | FAIL |
| 4:3 | home_bottom_rim | [162.062, 37.812, 69.625] | [184.688, 76.25, 103.812] | 38.438 RGB | FAIL |
| 4:3 | centre_bottom_rim | [39.125, 38.0, 38.125] | [46.125, 45.438, 47.512] | 9.388 RGB | FAIL |
| 4:3 | plate_lip | [207.667, 9.333, 64.4] | [53.3, 86.267, 137.9] | 154.367 RGB | FAIL |
| 4:3 | plate_dip | [173.667, 11.0, 57.667] | [37.433, 75.167, 128.567] | 136.233 RGB | FAIL |
| 4:3 | plate_sheen | [183.8, 12.0, 61.6] | [33.68, 82.88, 141.1] | 150.12 RGB | FAIL |
| 4:3 | plate_bottom | [165.667, 11.333, 55.333] | [47.2, 80.167, 130.5] | 118.467 RGB | FAIL |
| 4:3 | housing | [35.428, 36.72, 37.27] | [44.493, 44.295, 45.297] | 9.065 RGB | FAIL |
| 4:3 | capsule | [247.962, 247.962, 249.962] | [248.1, 248.054, 249.931] | 0.138 RGB | PASS |
| 4:3 | capsule_rim | [187.175, 188.55, 189.638] | [222.625, 222.675, 223.588] | 35.45 RGB | FAIL |
| 4:3 | red | [214.975, 0.015, 50.99] | [236.601, 228.359, 229.859] | 228.343 RGB | FAIL |
| 4:3 | pointer | [53.0, 58.3, 58.8] | [68.067, 66.433, 69.567] | 15.067 RGB | FAIL |
| 4:3 | away_logo_box | [211.556, 406.519, 290.667, 432.237] | [212.0, 403.615, 281.778, 429.748] | 8.889 HUD px | FAIL |
| 4:3 | home_logo_box | [569.778, 391.17, 657.778, 435.556] | [569.778, 391.585, 657.778, 435.141] | 0.415 HUD px | PASS |
| 4:3 | away_score_box | [327.111, 400.296, 344.444, 421.867] | [327.111, 399.881, 344.889, 422.281] | 0.444 HUD px | PASS |
| 4:3 | home_score_box | [506.667, 400.296, 524.444, 421.867] | [506.222, 400.296, 524.0, 422.696] | 0.83 HUD px | PASS |
| 4:3 | down_cap | 11.615 | 9.541 | 2.074 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | quarter_cap | 13.689 | 13.689 | 0.0 HUD px | PASS |
| 4:3 | play_clock_cap | 10.37 | 7.881 | 2.489 HUD px | IMPOSSIBLE | The broadcast cap is below the SD readability floor; the requested larger SD type deliberately exceeds the 1080-line reference.
| 4:3 | score_white | [252.0, 252.0, 252.0] | [253.0, 253.0, 253.0] | 1.0 RGB | PASS |
| 4:3 | separator_x | 400.0 | 400.0 | 0.0 HUD px | PASS |
| 4:3 | label_minimum_cap | 12.446 | 12 | 0.0 HUD px | PASS |
| 4:3 | label_minimum_stem | 3.552 | 2.5 | 0.0 HUD px | PASS |
| 4:3 | label_skipped_columns | 8 | 8 | 0.0 count | PASS |
| 4:3 | label_digit_width | 10.664 | 7.111 | 3.553 HUD px | IMPOSSIBLE | The requested 2.5 HUD pixel stems and retail-scale digits require a wider SD cut than the 16 source pixel broadcast digit.
| 16:9 | body | [37.033, 37.0, 37.0] | [37.772, 37.772, 37.772] | 0.772 RGB | PASS |
| 16:9 | away_wash | [70.0, 93.75, 138.75] | [61.031, 83.031, 126.875] | 11.875 RGB | FAIL |
| 16:9 | home_wash | [178.5, 48.75, 82.0] | [152.562, 62.375, 87.812] | 25.938 RGB | FAIL |
| 16:9 | centre_wash | [56.333, 69.75, 72.583] | [65.75, 64.417, 68.0] | 9.417 RGB | FAIL |
| 16:9 | away_wing | [71.0, 108.0, 178.0] | [51.5, 82.583, 134.867] | 43.133 RGB | FAIL |
| 16:9 | home_wing | [234.967, 87.183, 125.417] | [221.367, 35.15, 80.4] | 52.033 RGB | FAIL |
| 16:9 | away_bottom_rim | [65.562, 96.0, 153.875] | [90.25, 116.125, 164.625] | 24.688 RGB | FAIL |
| 16:9 | home_bottom_rim | [162.25, 37.875, 69.375] | [184.688, 76.25, 103.812] | 38.375 RGB | FAIL |
| 16:9 | centre_bottom_rim | [39.075, 38.0, 38.15] | [46.125, 45.438, 47.512] | 9.363 RGB | FAIL |
| 16:9 | plate_lip | [207.667, 9.333, 64.433] | [53.3, 86.267, 137.9] | 154.367 RGB | FAIL |
| 16:9 | plate_dip | [173.667, 11.0, 57.667] | [37.433, 75.167, 128.567] | 136.233 RGB | FAIL |
| 16:9 | plate_sheen | [183.8, 12.0, 61.6] | [33.68, 82.88, 141.1] | 150.12 RGB | FAIL |
| 16:9 | plate_bottom | [165.667, 11.333, 55.333] | [47.2, 80.167, 130.5] | 118.467 RGB | FAIL |
