name_key,presence,ps2_rows,ps2_fourccs,ps2_formats,ps2_dims,xbox_rows,xbox_fourccs,xbox_formats,xbox_dims
/DASHUPDATE.XBE,xbox_only,,,,,1,FILE:1,,
/DEFAULT.XBE,xbox_only,,,,,1,FILE:1,,
/UPDATE.XBE,xbox_only,,,,,1,FILE:1,,
/VC_53450030/0,xbox_only,,,,,1,FILE:1,,
/VC_53450030/1,xbox_only,,,,,1,FILE:1,,
/VC_53450030/2,xbox_only,,,,,1,FILE:1,,
/VC_53450030/3,xbox_only,,,,,1,FILE:1,,
/VC_53450030/4,xbox_only,,,,,1,FILE:1,,
/VC_53450030/5,xbox_only,,,,,1,FILE:1,,
/VC_53450030/6,xbox_only,,,,,1,FILE:1,,
/VC_53450030/7,xbox_only,,,,,1,FILE:1,,
/VC_53450030/8,xbox_only,,,,,1,FILE:1,,
/VC_53450030/9,xbox_only,,,,,1,FILE:1,,
/VC_53450030/A,xbox_only,,,,,1,FILE:1,,
/VC_53450030/B,xbox_only,,,,,1,FILE:1,,
/VC_53450030/C,xbox_only,,,,,1,FILE:1,,
/VC_53450030/D,xbox_only,,,,,1,FILE:1,,
/VC_53450030/E,xbox_only,,,,,1,FILE:1,,
/VC_53450030/F,xbox_only,,,,,1,FILE:1,,
0000,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0001,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0002,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0003,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0005,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0007,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0012,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0017,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0023,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0027,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0028,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0029,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0035,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0036,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0040,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0041,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0044,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0046,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0050,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0051,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0056,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0057,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0062,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0063,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0065,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0069,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0073,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0078,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0081,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0082,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0087,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0091,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0092,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0095,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
0096,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
00_BANNER_00,both,1,TXTR:1,PSMT8:1,256x256,1,TXTR:1,P8:1,256x256
00_BANNER_01,both,1,TXTR:1,PSMT8:1,256x128,1,TXTR:1,P8:1,256x128
00_BANNER_02,both,1,TXTR:1,PSMT8:1,256x128,1,TXTR:1,P8:1,256x128
00_BOBBLEHEAD_HI,both,1,SCNE:1,,,1,SCNE:1,,
00_BOBBLEHEAD_HI/EMBEDDED_0000,ps2_only,1,TXTR:1,PSMT8:1,512x512,,,,
00_BOBBLEHEAD_HI/EMBEDDED_0001,ps2_only,1,TXTR:1,PSMT8:1,128x128,,,,
00_FLIPCHIP_00_H0,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FLIPCHIP_00_H1,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FLIPCHIP_00_H2,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FLIPCHIP_00_H3,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FLIPCHIP_00_H4,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FLIPCHIP_00_H5,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FLIPCHIP_00_H6,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FLIPCHIP_00_H7,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FLIPCHIP_00_H8,both,1,TXTR:1,PSMT8:1,64x64,1,TXTR:1,P8:1,64x64
00_FOAM_FINGER,both,1,TXTR:1,PSMT8:1,128x64,1,TXTR:1,P8:1,128x64
00_GAME_BALL_00,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_GAME_BALL_01,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_GAME_BALL_02,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_GAME_BALL_03,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_HELMET,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,128x128
00_HELMET_MUG,both,1,TXTR:1,PSMT8:1,256x128,1,TXTR:1,P8:1,256x128
00_JERSEY_00,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_JERSEY_01,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_JERSEY_02,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_JERSEY_03,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_JERSEY_04,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_JERSEY_05,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_JERSEY_06,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_JERSEY_07,both,1,TXTR:1,PSMT8:1,128x128,1,TXTR:1,P8:1,256x256
00_LICENSE_PLATE,both,1,TXTR:1,PSMT8:1,128x64,1,TXTR:1,P8:1,256x128
00_PAINTING_00,both,1,TXTR:1,PSMT8:1,128x256,1,TXTR:1,P8:1,128x256
00_PAINTING_01,both,1,TXTR:1,PSMT8:1,128x256,1,TXTR:1,P8:1,128x256
